iter	Passed	Remaining
0	111	111640
1	113	56491
2	185	61625
3	186	46538
4	208	41538
5	210	34831
6	212	30128
7	351	43579
8	353	38882
9	355	35186
10	356	32096
11	373	30784
12	436	33171
13	438	30867
14	483	31776
15	485	29843
16	487	28171
17	488	26676
18	490	25347
19	512	25136
20	516	24059
21	517	23009
22	519	22053
23	520	21169
24	521	20355
25	523	19599
26	524	18918
27	526	18275
28	527	17668
29	529	17108
30	531	16610
31	536	16215
32	537	15752
33	538	15309
34	539	14879
35	550	14743
36	552	14367
37	553	14008
38	554	13669
39	556	13350
40	557	13042
41	559	12752
42	560	12477
43	561	12209
44	563	11955
45	565	11722
46	566	11488
47	568	11265
48	569	11047
49	570	10836
50	571	10634
51	572	10444
52	574	10256
53	574	10069
54	576	9900
55	577	9740
56	579	9580
57	580	9426
58	581	9276
59	582	9127
60	583	8982
61	585	8859
62	587	8735
63	588	8610
64	590	8487
65	591	8370
66	592	8256
67	593	8137
68	595	8031
69	596	7923
70	598	7827
71	599	7729
72	601	7633
73	602	7538
74	603	7444
75	605	7358
76	607	7278
77	608	7196
78	610	7112
79	611	7036
80	627	7117
81	629	7043
82	630	6970
83	632	6895
84	632	6812
85	634	6747
86	635	6672
87	637	6603
88	638	6537
89	640	6474
90	644	6436
91	646	6378
92	647	6318
93	652	6289
94	654	6231
95	675	6363
96	677	6303
97	678	6243
98	679	6187
99	681	6129
100	682	6076
101	683	6018
102	686	5976
103	687	5926
104	693	5913
105	695	5867
106	698	5826
107	699	5780
108	701	5733
109	703	5693
110	704	5646
111	713	5654
112	714	5609
113	715	5564
114	717	5522
115	724	5522
116	726	5481
117	727	5439
118	728	5396
119	738	5413
120	739	5372
121	749	5391
122	749	5347
123	755	5337
124	757	5301
125	763	5295
126	764	5257
127	774	5275
128	776	5239
129	777	5205
130	781	5184
131	783	5151
132	784	5117
133	815	5269
134	816	5233
135	820	5210
136	821	5177
137	822	5140
138	824	5106
139	825	5072
140	844	5147
141	846	5115
142	848	5082
143	849	5047
144	854	5041
145	856	5011
146	872	5061
147	873	5028
148	883	5044
149	884	5012
150	885	4980
151	897	5008
152	899	4978
153	900	4949
154	902	4918
155	940	5085
156	941	5054
157	948	5052
158	949	5024
159	951	4994
160	991	5164
161	992	5135
162	1020	5240
163	1022	5210
164	1023	5179
165	1024	5149
166	1026	5117
167	1035	5128
168	1037	5100
169	1039	5073
170	1042	5051
171	1043	5024
172	1045	4995
173	1053	5002
174	1056	4980
175	1058	4954
176	1102	5124
177	1103	5095
178	1113	5105
179	1114	5078
180	1115	5047
181	1125	5058
182	1126	5030
183	1128	5005
184	1129	4977
185	1131	4951
186	1133	4926
187	1165	5035
188	1167	5007
189	1168	4980
190	1169	4953
191	1170	4925
192	1172	4900
193	1173	4875
194	1174	4848
195	1188	4875
196	1189	4849
197	1222	4952
198	1224	4927
199	1225	4903
200	1227	4881
201	1229	4856
202	1261	4954
203	1263	4928
204	1269	4921
205	1270	4898
206	1272	4874
207	1334	5082
208	1336	5056
209	1337	5032
210	1339	5007
211	1340	4981
212	1341	4957
213	1342	4932
214	1352	4939
215	1353	4914
216	1355	4890
217	1396	5008
218	1397	4983
219	1415	5017
220	1440	5076
221	1441	5052
222	1510	5263
223	1511	5237
224	1513	5212
225	1514	5187
226	1515	5162
227	1517	5137
228	1518	5112
229	1519	5088
230	1521	5063
231	1526	5053
232	1528	5030
233	1529	5006
234	1530	4983
235	1532	4959
236	1569	5054
237	1571	5030
238	1577	5022
239	1578	4998
240	1579	4975
241	1581	4952
242	1603	4994
243	1604	4972
244	1614	4975
245	1615	4952
246	1617	4930
247	1618	4908
248	1619	4885
249	1629	4889
250	1631	4867
251	1632	4845
252	1633	4824
253	1635	4803
254	1636	4782
255	1638	4760
256	1639	4740
257	1641	4720
258	1642	4699
259	1643	4678
260	1673	4737
261	1674	4716
262	1688	4730
263	1689	4710
264	1690	4689
265	1692	4670
266	1693	4649
267	1694	4629
268	1696	4609
269	1717	4644
270	1719	4624
271	1720	4604
272	1721	4585
273	1723	4566
274	1736	4577
275	1737	4558
276	1755	4582
277	1756	4562
278	1758	4543
279	1759	4524
280	1760	4505
281	1770	4508
282	1772	4489
283	1777	4481
284	1778	4461
285	1783	4453
286	1785	4435
287	1786	4417
288	1788	4399
289	1789	4381
290	1791	4364
291	1792	4346
292	1794	4329
293	1795	4312
294	1796	4294
295	1798	4277
296	1799	4259
297	1801	4243
298	1813	4250
299	1814	4233
300	1815	4216
301	1817	4199
302	1818	4182
303	1844	4222
304	1845	4205
305	1866	4233
306	1868	4217
307	1869	4200
308	1880	4205
309	1887	4201
310	1888	4184
311	1890	4168
312	1891	4152
313	1893	4136
314	1894	4120
315	1913	4141
316	1915	4128
317	1917	4112
318	1919	4096
319	1921	4083
320	1922	4067
321	1924	4052
322	1926	4037
323	1927	4021
324	1941	4032
325	1943	4017
326	1945	4003
327	1946	3987
328	1948	3973
329	1978	4016
330	1982	4006
331	1999	4022
332	2013	4033
333	2015	4018
334	2016	4003
335	2032	4016
336	2038	4010
337	2039	3995
338	2041	3980
339	2043	3966
340	2044	3951
341	2095	4030
342	2096	4015
343	2097	4000
344	2098	3984
345	2100	3969
346	2101	3954
347	2103	3941
348	2104	3926
349	2106	3911
350	2118	3917
351	2121	3905
352	2123	3892
353	2125	3878
354	2131	3872
355	2133	3858
356	2134	3844
357	2137	3832
358	2139	3820
359	2153	3828
360	2274	4025
361	2275	4010
362	2277	3995
363	2278	3981
364	2280	3966
365	2319	4017
366	2338	4033
367	2339	4018
368	2341	4003
369	2343	3990
370	2353	3990
371	2355	3976
372	2380	4001
373	2386	3994
374	2388	3980
375	2389	3965
376	2411	3985
377	2413	3970
378	2414	3956
379	2415	3941
380	2416	3926
381	2418	3912
382	2419	3898
383	2421	3884
384	2422	3870
385	2432	3869
386	2433	3855
387	2436	3842
388	2442	3836
389	2459	3846
390	2460	3832
391	2462	3818
392	2471	3816
393	2478	3811
394	2479	3797
395	2480	3783
396	2490	3782
397	2491	3768
398	2492	3755
399	2494	3741
400	2496	3728
401	2497	3715
402	2499	3702
403	2501	3689
404	2502	3676
405	2503	3663
406	2505	3649
407	2510	3642
408	2511	3629
409	2513	3616
410	2514	3603
411	2536	3620
412	2551	3626
413	2552	3613
414	2558	3606
415	2559	3593
416	2560	3580
417	2566	3573
418	2567	3560
419	2581	3564
420	2584	3554
421	2601	3563
422	2603	3551
423	2605	3538
424	2618	3542
425	2619	3529
426	2621	3517
427	2622	3504
428	2624	3492
429	2625	3480
430	2626	3468
431	2640	3472
432	2641	3459
433	2643	3446
434	2644	3434
435	2647	3424
436	2648	3412
437	2650	3400
438	2688	3436
439	2691	3425
440	2723	3452
441	2724	3440
442	2726	3427
443	2727	3415
444	2729	3403
445	2730	3392
446	2732	3379
447	2733	3368
448	2735	3356
449	2740	3350
450	2742	3338
451	2752	3336
452	2753	3324
453	2774	3336
454	2775	3325
455	2785	3323
456	2786	3311
457	2787	3299
458	2801	3301
459	2816	3306
460	2824	3302
461	2826	3291
462	2827	3279
463	2829	3268
464	2830	3256
465	2843	3258
466	2844	3246
467	2847	3236
468	2898	3281
469	2950	3326
470	2951	3314
471	2952	3302
472	2993	3334
473	2997	3326
474	2998	3314
475	3007	3311
476	3009	3299
477	3010	3288
478	3032	3298
479	3034	3287
480	3035	3275
481	3170	3407
482	3172	3395
483	3173	3383
484	3174	3371
485	3195	3380
486	3197	3368
487	3218	3376
488	3219	3364
489	3220	3352
490	3222	3340
491	3223	3328
492	3237	3329
493	3238	3317
494	3239	3305
495	3241	3293
496	3242	3281
497	3243	3269
498	3245	3258
499	3267	3267
500	3284	3270
501	3285	3259
502	3310	3271
503	3311	3259
504	3313	3247
505	3325	3246
506	3326	3235
507	3328	3223
508	3329	3211
509	3330	3200
510	3355	3211
511	3356	3199
512	3358	3188
513	3360	3177
514	3361	3166
515	3363	3154
516	3369	3147
517	3370	3136
518	3408	3158
519	3409	3147
520	3411	3136
521	3421	3133
522	3422	3121
523	3424	3110
524	3426	3099
525	3431	3092
526	3432	3080
527	3465	3098
528	3467	3087
529	3468	3076
530	3470	3065
531	3471	3053
532	3509	3074
533	3510	3063
534	3512	3052
535	3513	3041
536	3530	3044
537	3532	3033
538	3533	3022
539	3534	3011
540	3536	3000
541	3538	2989
542	3539	2978
543	3541	2968
544	3558	2970
545	3559	2959
546	3561	2949
547	3562	2938
548	3563	2927
549	3565	2917
550	3566	2906
551	3568	2896
552	3582	2895
553	3583	2884
554	3585	2874
555	3586	2863
556	3623	2882
557	3625	2871
558	3626	2860
559	3627	2850
560	3628	2839
561	3634	2832
562	3635	2822
563	3637	2811
564	3638	2801
565	3639	2790
566	3641	2780
567	3642	2770
568	3644	2760
569	3645	2750
570	3647	2740
571	3648	2729
572	3649	2719
573	3650	2709
574	3652	2699
575	3658	2692
576	3659	2683
577	3666	2676
578	3667	2666
579	3668	2656
580	3678	2652
581	3679	2642
582	3689	2638
583	3690	2628
584	3707	2630
585	3709	2620
586	3710	2610
587	3712	2600
588	3713	2591
589	3715	2581
590	3716	2572
591	3717	2562
592	3719	2552
593	3720	2543
594	3722	2533
595	3739	2534
596	3740	2525
597	3742	2515
598	3743	2506
599	3765	2510
600	3766	2500
601	3768	2491
602	3810	2508
603	3812	2499
604	3813	2489
605	3815	2480
606	3816	2471
607	3818	2461
608	3832	2460
609	3845	2458
610	3888	2475
611	3890	2466
612	3891	2456
613	3900	2452
614	3902	2443
615	3957	2467
616	3959	2457
617	3998	2471
618	4000	2462
619	4002	2452
620	4003	2443
621	4005	2434
622	4006	2424
623	4007	2414
624	4013	2407
625	4014	2398
626	4015	2388
627	4097	2426
628	4098	2417
629	4099	2407
630	4100	2397
631	4111	2393
632	4112	2384
633	4113	2374
634	4115	2365
635	4116	2355
636	4134	2356
637	4136	2347
638	4138	2338
639	4167	2344
640	4168	2334
641	4170	2325
642	4171	2316
643	4173	2306
644	4234	2330
645	4236	2321
646	4237	2311
647	4239	2302
648	4240	2293
649	4245	2286
650	4246	2276
651	4248	2267
652	4249	2258
653	4251	2249
654	4253	2240
655	4299	2254
656	4301	2245
657	4302	2236
658	4304	2227
659	4305	2218
660	4323	2217
661	4324	2208
662	4326	2199
663	4327	2189
664	4345	2189
665	4346	2179
666	4348	2171
667	4349	2161
668	4350	2152
669	4368	2151
670	4370	2142
671	4371	2133
672	4372	2124
673	4378	2117
674	4380	2108
675	4409	2113
676	4410	2104
677	4411	2095
678	4429	2093
679	4430	2084
680	4436	2077
681	4437	2069
682	4447	2064
683	4471	2065
684	4472	2056
685	4473	2047
686	4475	2039
687	4476	2030
688	4490	2026
689	4491	2017
690	4504	2014
691	4506	2005
692	4507	1997
693	4509	1988
694	4515	1981
695	4526	1977
696	4527	1968
697	4529	1959
698	4530	1950
699	4531	1942
700	4533	1933
701	4534	1924
702	4540	1918
703	4541	1909
704	4555	1906
705	4556	1897
706	4557	1888
707	4559	1880
708	4564	1873
709	4565	1864
710	4566	1856
711	4580	1852
712	4591	1848
713	4592	1839
714	4593	1831
715	4595	1822
716	4596	1814
717	4598	1805
718	4635	1811
719	4636	1802
720	4637	1794
721	4638	1786
722	4702	1801
723	4703	1793
724	4705	1784
725	4706	1776
726	4707	1767
727	4712	1760
728	4714	1752
729	4715	1744
730	4772	1756
731	4773	1747
732	4795	1746
733	4796	1738
734	4798	1729
735	4799	1721
736	4800	1713
737	4802	1705
738	4804	1696
739	4817	1692
740	4818	1684
741	4819	1675
742	4821	1667
743	4822	1659
744	4823	1650
745	4841	1648
746	4842	1640
747	4855	1635
748	4856	1627
749	4857	1619
750	4859	1611
751	4860	1602
752	4861	1594
753	4879	1591
754	4880	1583
755	4898	1581
756	4900	1572
757	4901	1564
758	4902	1556
759	4903	1548
760	4905	1540
761	4906	1532
762	4955	1539
763	4957	1531
764	4974	1528
765	4976	1520
766	4977	1511
767	4978	1503
768	4979	1495
769	5020	1499
770	5042	1497
771	5043	1489
772	5108	1500
773	5109	1491
774	5110	1483
775	5116	1476
776	5117	1468
777	5119	1460
778	5120	1452
779	5149	1452
780	5151	1444
781	5152	1436
782	5170	1432
783	5171	1424
784	5180	1418
785	5182	1410
786	5184	1403
787	5185	1395
788	5187	1387
789	5188	1379
790	5190	1371
791	5199	1365
792	5201	1357
793	5214	1353
794	5216	1345
795	5233	1341
796	5234	1333
797	5236	1325
798	5237	1317
799	5238	1309
800	5256	1305
801	5257	1298
802	5286	1297
803	5307	1293
804	5322	1289
805	5323	1281
806	5325	1273
807	5331	1266
808	5332	1258
809	5333	1251
810	5335	1243
811	5356	1240
812	5357	1232
813	5358	1224
814	5380	1221
815	5381	1213
816	5383	1205
817	5384	1197
818	5385	1190
819	5398	1185
820	5399	1177
821	5400	1169
822	5401	1161
823	5427	1159
824	5452	1156
825	5453	1148
826	5454	1141
827	5456	1133
828	5457	1125
829	5475	1121
830	5476	1113
831	5477	1106
832	5498	1102
833	5499	1094
834	5500	1086
835	5502	1079
836	5525	1076
837	5526	1068
838	5528	1060
839	5529	1053
840	5542	1047
841	5543	1040
842	5546	1032
843	5559	1027
844	5561	1020
845	5562	1012
846	5564	1005
847	5566	997
848	5620	999
849	5621	992
850	5623	984
851	5625	977
852	5639	971
853	5641	964
854	5643	957
855	5645	949
856	5658	944
857	5660	936
858	5725	939
859	5726	932
860	5726	924
861	5727	916
862	5748	912
863	5749	905
864	5750	897
865	5755	890
866	5757	883
867	5762	876
868	5764	868
869	5765	861
870	5779	856
871	5829	855
872	5831	848
873	5850	843
874	5851	835
875	5860	829
876	5862	822
