iter	Passed	Remaining
0	324	323680
1	325	162200
2	331	110056
3	347	86430
4	348	69262
5	348	57802
6	350	49702
7	351	43566
8	352	38778
9	357	35381
10	377	33953
11	469	38665
12	470	35719
13	471	33237
14	473	31061
15	478	29424
16	479	27718
17	480	26198
18	481	24849
19	482	23637
20	483	22559
21	485	21561
22	558	23703
23	559	22739
24	564	22023
25	565	21192
26	566	20428
27	576	20000
28	599	20084
29	601	19446
30	603	18867
31	604	18289
32	605	17745
33	606	17235
34	607	16750
35	608	16292
36	657	17109
37	659	16699
38	660	16276
39	661	15884
40	662	15506
41	677	15448
42	678	15096
43	688	14967
44	689	14637
45	690	14326
46	691	14025
47	692	13741
48	708	13749
49	709	13476
50	710	13213
51	710	12960
52	712	12722
53	720	12613
54	721	12389
55	722	12171
56	723	11964
57	724	11762
58	725	11564
59	725	11373
60	735	11319
61	736	11138
62	737	10962
63	737	10793
64	738	10629
65	750	10625
66	751	10469
67	752	10317
68	762	10281
69	762	10134
70	763	9991
71	764	9852
72	765	9718
73	766	9589
74	767	9462
75	768	9338
76	776	9313
77	778	9197
78	779	9082
79	780	8973
80	781	8864
81	782	8757
82	782	8646
83	783	8545
84	784	8446
85	785	8348
86	786	8254
87	787	8162
88	788	8072
89	789	7985
90	790	7899
91	792	7824
92	859	8387
93	861	8299
94	862	8212
95	862	8125
96	864	8046
97	865	7965
98	866	7884
99	867	7805
100	868	7728
101	869	7651
102	870	7576
103	871	7504
104	872	7434
105	873	7366
106	874	7299
107	875	7231
108	876	7163
109	877	7098
110	878	7035
111	883	7005
112	884	6944
113	885	6885
114	886	6825
115	888	6768
116	888	6708
117	889	6652
118	891	6596
119	892	6543
120	893	6489
121	894	6434
122	895	6383
123	896	6331
124	897	6280
125	902	6258
126	903	6207
127	903	6158
128	921	6220
129	922	6172
130	923	6125
131	924	6079
132	925	6032
133	926	5985
134	927	5939
135	928	5895
136	929	5852
137	929	5808
138	930	5766
139	931	5724
140	933	5684
141	946	5716
142	947	5675
143	948	5635
144	949	5596
145	950	5556
146	950	5517
147	951	5480
148	953	5443
149	954	5406
150	955	5370
151	956	5334
152	957	5299
153	970	5330
154	971	5295
155	972	5261
156	973	5227
157	974	5193
158	975	5160
159	976	5127
160	977	5093
161	978	5061
162	979	5030
163	980	4999
164	981	4968
165	983	4938
